"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_30";"dec_time_30";"freq_A_30";"freq_B_30";"which_won_30"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;1,07440476190476;1,35416666666667;500;5500;30,2605935459949;615,957096238738;30,2605935459949;11,6386898253827;1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;0,94047619047619;1,41666666666667;500;5500;32,6755709019663;2687,61345498579;9,63069458163219;32,6755709019663;-1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;0,964285714285714;1,51190476190476;500;5500;30,7427786747719;661,450940120435;10,0248191330778;30,7427786747719;-1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;1,05654761904762;1,45238095238095;500;5500;30,0207495012784;1164,41237383068;7,19247123468127;30,0207495012784;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;0,970238095238095;1,48809523809524;500;5500;31,5140093100537;998,465178968314;9,51985697907871;31,5140093100537;-1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;0,93452380952381;1,41964285714286;500;5500;30,5965649751125;2534,26821862335;8,06942372969999;30,5965649751125;-1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;1,0625;1,56547619047619;500;5500;30,8783140587851;881,523601284667;30,8783140587851;9,50101971039542;1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;0,988095238095238;1,41369047619048;500;5500;31,2167108097838;1525,10488044238;31,2167108097838;15,0937942376976;1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;1,04166666666667;1,26785714285714;500;5500;33,1014472202753;893,386986135583;4,91605651786267;33,1014472202753;-1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;1,12202380952381;1,39285714285714;500;5500;30,3140312628341;953,761075290173;11,2400340637475;30,3140312628341;-1
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;1,01488095238095;1,43452380952381;500;5500;30,6257556987717;1311,0220587541;10,9853254136898;30,6257556987717;-1
"12";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;0,943452380952381;1,36607142857143;500;5500;33,5224129197413;990,041159316702;10,2619631386963;33,5224129197413;-1
"13";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;1,0922619047619;1,39285714285714;500;5500;31,569098689711;1133,64133081145;7,73120784237819;31,569098689711;-1
"14";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;0,9375;1,54166666666667;500;5500;33,0485845150093;697,502755988417;9,29491439484635;33,0485845150093;-1
"15";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;0,925595238095238;1,44047619047619;500;5500;32,5268194835609;574,100941500463;7,633845388999;32,5268194835609;-1
"16";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;1,08333333333333;1,38988095238095;500;5500;30,949162539789;803,379508860432;30,949162539789;9,5481458899349;1
"17";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;1,0327380952381;1,41964285714286;500;5500;30,0075717503899;1234,51962377295;5,36977599743819;30,0075717503899;-1
"18";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;2;2,88;0,949404761904762;1,45238095238095;500;5500;30,5413571407473;945,037450434162;9,82940229817153;30,5413571407473;-1
