"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_50";"dec_time_50";"freq_A_50";"freq_B_50";"which_won_50"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,625;7,11309523809524;500;5500;51,487524238468;1635,3241348233;51,487524238468;45,7239954058037;1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,49107142857143;7,05654761904762;500;5500;51,3429386947865;1615,78752941875;51,3429386947865;43,2747626141772;1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,28869047619048;7,00297619047619;500;5500;51,0193995919561;966,157114887797;51,0193995919561;33,4265031809368;1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,69345238095238;6,95833333333333;500;5500;51,4517011911192;1033,0504055559;39,1696821971101;51,4517011911192;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,55357142857143;6,87797619047619;500;5500;51,706385706297;947,202247185602;31,4577311639709;51,706385706297;-1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,52678571428571;6,94047619047619;500;5500;50,051661713046;945,499794017109;31,4117325233599;50,051661713046;-1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,5922619047619;6,90178571428571;500;5500;51,1593128929406;999,130462790077;41,5454822821867;51,1593128929406;-1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,69642857142857;6,82142857142857;500;5500;50,3246703654996;3018,97457121203;50,3246703654996;32,4557656705034;1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,40178571428571;6,9077380952381;500;5500;50,6825556615646;755,255519094807;27,8050131754417;50,6825556615646;-1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,33333333333333;6,94642857142857;500;5500;51,1245952166426;1217,99330757114;27,7224917724048;51,1245952166426;-1
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,48214285714286;6,8422619047619;500;5500;51,0797254961445;1000,46337718049;26,6344282944182;51,0797254961445;-1
"12";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,4077380952381;7,07738095238095;500;5500;50,2116659181078;1253,33736869408;31,4249881936457;50,2116659181078;-1
"13";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,47619047619048;7,02083333333333;500;5500;50,3637153499215;906,826288307337;26,5808497680141;50,3637153499215;-1
"14";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,35119047619048;6,89285714285714;500;5500;50,1460364247216;1232,73693832256;33,0824545857538;50,1460364247216;-1
"15";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,60119047619048;6,95238095238095;500;5500;51,0271674866613;1418,98689767241;33,9062099746894;51,0271674866613;-1
"16";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,49702380952381;6,68452380952381;500;5500;50,8833626195711;1241,54049066196;45,0386520484041;50,8833626195711;-1
"17";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,47321428571429;6,74404761904762;500;5500;50,1405110804429;910,479748601466;25,7764599216362;50,1405110804429;-1
"18";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,49702380952381;6,83333333333333;500;5500;50,2526112922613;855,392461122696;29,057632379879;50,2526112922613;-1
"19";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,41666666666667;6,92559523809524;500;5500;50,5445143394088;776,577603385964;22,3496151840923;50,5445143394088;-1
"20";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,44940476190476;7,01785714285714;500;5500;50,5201405505137;894,043181881097;24,7445586369863;50,5201405505137;-1
"21";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,7797619047619;6,76785714285714;500;5500;50,3323288966201;1170,67191834051;45,0737273701075;50,3323288966201;-1
"22";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,40178571428571;6,80654761904762;500;5500;50,0250126079497;979,828681383538;27,2550068691588;50,0250126079497;-1
"23";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,6547619047619;6,68452380952381;500;5500;50,2029837946507;1504,54590465555;50,2029837946507;41,364430309677;1
"24";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,41369047619048;6,82440476190476;500;5500;50,4554947694953;1992,67459005011;28,9278170011773;50,4554947694953;-1
"25";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,60119047619048;6,8452380952381;500;5500;51,6613035313735;958,095027630746;23,606820818972;51,6613035313735;-1
"26";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,48214285714286;6,8422619047619;500;5500;50,0236503006577;946,150761306295;35,3738669983223;50,0236503006577;-1
"27";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,48214285714286;6,7827380952381;500;5500;51,6923335610423;1004,60962702328;35,5853020891233;51,6923335610423;-1
"28";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,4672619047619;7,00297619047619;500;5500;50,995437999399;984,915692805937;26,5750874081375;50,995437999399;-1
"29";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,44940476190476;6,98214285714286;500;5500;50,3833714996198;1373,90205438352;40,1657646920046;50,3833714996198;-1
"30";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,2827380952381;6,82738095238095;500;5500;50,2539154266698;1047,63234005623;27,843385574236;50,2539154266698;-1
"31";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,49107142857143;6,66666666666667;500;5500;50,9546177944412;1107,12221673664;50,9546177944412;33,9697451962941;1
"32";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,61904761904762;6,99702380952381;500;5500;51,8000000000002;1104,40250964825;35,3500000000002;51,8000000000002;-1
"33";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,43452380952381;7,05059523809524;500;5500;50,1277247310907;1028,03163945307;32,0544634334866;50,1277247310907;-1
"34";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,72619047619048;6,72619047619048;500;5500;50,6620503720182;1154,51423456556;39,9379667166275;50,6620503720182;-1
"35";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,50297619047619;6,98809523809524;500;5500;50,2440390913919;1352,36507784772;37,8505094488485;50,2440390913919;-1
"36";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,68452380952381;7,06547619047619;500;5500;50,7715748581987;898,25765832246;50,7715748581987;40,6892763047975;1
"37";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,51488095238095;6,85714285714286;500;5500;51,1585379950917;1162,75436978986;41,4140545674552;51,1585379950917;-1
"38";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,375;7,02083333333333;500;5500;50,2805253379516;1526,05266685664;50,2805253379516;36,021868898831;1
"39";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,61607142857143;6,67261904761905;500;5500;50,2790023776117;1760,12971272561;41,2634571236951;50,2790023776117;-1
"40";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,45238095238095;7,02083333333333;500;5500;50,2969041489484;2468,00678735161;35,8279317225386;50,2969041489484;-1
"41";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,42261904761905;6,95833333333333;500;5500;50,2893015973388;916,218264586389;50,2893015973388;36,6393483066326;1
"42";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,83;5,51488095238095;6,875;500;5500;50,292106019755;1006,75860321619;31,8174548288246;50,292106019755;-1
