"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_30";"dec_time_30";"freq_A_30";"freq_B_30";"which_won_30";"bound_40";"dec_time_40";"freq_A_40";"freq_B_40";"which_won_40";"bound_50";"dec_time_50";"freq_A_50";"freq_B_50";"which_won_50"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,70382297690958;1,96428571428571;2,39880952380952;500;5500;30,9244587994988;765,245362326166;30,9244587994988;13,781552291081;1;41,4131962567496;851,828477822517;41,4131962567496;15,5299485962811;1;50,4051476426739;1045,00423833059;50,4051476426739;10,748156482629;1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,30556242913008;2,01488095238095;3,49107142857143;500;5500;30,9143119497009;668,086364659903;12,558939229566;30,9143119497009;-1;40,7354162158578;735,947483393862;12,3661084940997;40,7354162158578;-1;51,0046412753906;1264,01748061793;7,63334767386799;51,0046412753906;-1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,34958419576287;2,05059523809524;3,1547619047619;500;5500;31,5516594116811;759,880863730894;19,5483107224546;31,5516594116811;-1;41,7354064551791;895,489605211709;14,028708052161;41,7354064551791;-1;51,230466864549;1001,9675153627;14,3981050665072;51,230466864549;-1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,98379252664745;1,97619047619048;3,64285714285714;500;5500;30,697879586176;656,740942078603;8,54477060646136;30,697879586176;-1;40,4658843969054;1064,57138860291;9,06993960620294;40,4658843969054;-1;51,4105902058849;1276,8075247836;7,80022747951357;51,4105902058849;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98087565973401;1,99404761904762;2,28869047619048;500;5500;30,038562716878;742,39695472632;6,07521493150341;30,038562716878;-1;40,6775779772886;781,973100227991;6,49473934091163;40,6775779772886;-1;52,1074980731434;868,957347770031;8,68458301219057;52,1074980731434;-1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,05684167984873;2,05059523809524;3,04166666666667;500;5500;30,1971376121612;804,476839032076;7,46446098278143;30,1971376121612;-1;41,1959725712462;901,477639675649;6,12832649820191;41,1959725712462;-1;50,0691449928913;972,695818323439;2,0162071809218;50,0691449928913;-1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,13959180284292;2,02083333333333;3,08630952380952;500;5500;30,4660058949288;649,727347712887;19,4178938670975;30,4660058949288;-1;40,0200208826197;748,329713389034;15,2142228148802;40,0200208826197;-1;50,2132854410598;1128,46844333743;4,79744765360444;50,2132854410598;-1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,33510975819081;1,87202380952381;2,14583333333333;500;5500;31,1623312533648;758,078013818443;7,11314082957239;31,1623312533648;-1;40,9640913916481;953,086783263486;2,64284460591278;40,9640913916481;-1;50,3991408089239;1080,05944370447;6,71988544118985;50,3991408089239;-1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;7,00210333522409;1,88392857142857;3,80654761904762;500;5500;32,2187707372063;708,616546208257;13,6685694036633;32,2187707372063;-1;42,8320277122304;824,749012962616;14,3888843095774;42,8320277122304;-1;52,2166347866585;912,641880185148;6,2244995109924;52,2166347866585;-1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,19123781099916;2,01785714285714;1,99404761904762;500;5500;30,8156308500406;873,545793322053;30,8156308500406;22,7907269828425;1;41,1767682262855;933,64473193288;41,1767682262855;15,7342122490684;1;50,8211518607687;1166,33071095358;50,8211518607687;6,21553655851128;1
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;5,55553997773677;2,19345238095238;2,75595238095238;500;5500;30,146911809037;671,319289171819;14,9001977906735;30,146911809037;-1;41,0763587494883;738,995028011163;11,7842012805909;41,0763587494883;-1;50,0499999999998;914,75513446493;12,25;50,0499999999998;-1
